Ly,val
1,13.9675
2,13.1471
3,13.2619
4,13.1602
5,13.3784
6,13.2025
7,13.6871
8,13.9581
9,14.0133
10,13.8854
11,13.8025
12,13.9326
13,13.9287
14,13.9506
15,13.9316
16,13.9143
