nperseg,val
32,1.5468
64,0.5306
96,0.2251
128,0.1659
160,0.054
192,0.0106
224,0.0142
256,0.0134
288,-0.0106
320,0.0016
352,0.0065
384,0.0108
416,0.0011
448,-0.0062
480,0.0
512,0.0022
