Ly,val
1,28.7277
2,32.4359
3,32.9807
4,33.3963
5,33.6787
6,34.4573
7,34.9657
8,35.2425
9,35.6118
10,36.0205
11,36.2023
12,36.4909
13,36.6907
14,37.0489
15,37.2929
16,37.4484
