Ly,val
1,0.6732
2,1.39
3,1.3212
4,1.239
5,1.1961
6,1.3031
7,1.3876
8,1.4005
9,1.417
10,1.4216
11,1.4379
12,1.4587
13,1.5193
14,1.5891
15,1.6122
16,1.6216
