nperseg,val
32,2.7381
64,1.4841
96,1.0439
128,1.2122
160,0.5603
192,0.7646
224,0.3523
256,0.4087
288,0.3253
320,0.2125
352,0.2936
384,0.295
416,0.2209
448,0.1914
480,0.2142
512,0.1647
