freq,val
-15,7.923466669404293e-24
-12,8.006129253149375e-24
-9,4.0044367931195144e-24
-6,3.4347905840259284e-24
-3,1.7547860946152834e-24
0,1.0419831159419635e-24
3,3.905037851166841e-25
6,2.551520390116516e-25
9,2.869309988772775e-25
12,2.302982567227228e-25
15,3.6876335148220594e-25
