freq, val
0.25,-17.949383364038148
0.5,-21.23810019467904
0.75,-18.683603879869196
1.0,-20.522874059377468
1.25,-18.62137103987736
1.5,-13.937183975636804
1.75,-17.845386350470434
2.0,-19.68329903994811
2.25,-19.600358679179596
2.5,-16.15704352380485
2.75,-13.205639898450626
3.0,-11.854691237095775
3.25,-17.030492512087978
3.5,-22.415689920759952
3.75,-21.49795474491585
4.0,-22.934645147459438
4.25,-25.61587809913819
4.5,-27.292267224916973
4.75,-24.3373748885754
5.0,-24.703609653763067
5.25,-21.856466652019147
5.5,-24.000546191298437
5.75,-27.467029401212567
6.0,-30.713278387543035
6.25,-32.07247336719493
6.5,-28.510119524674455
6.75,-25.710790697218087
7.0,-28.114736142886933
7.25,-32.041622943640085
7.5,-25.602932833983605
7.75,-13.398281117672093
