Ly,val
1,-0.349
2,0.0066
3,0.1333
4,0.1242
5,0.0941
6,0.1525
7,0.2088
8,0.2213
9,0.2346
10,0.2312
11,0.2354
12,0.246
13,0.2835
14,0.3305
15,0.3505
16,0.3555
