nperseg,val
32,-1.3954
64,-1.2137
96,-1.4786
128,-1.4756
160,-1.5621
192,-1.6256
224,-1.7369
256,-1.6893
288,-1.7061
320,-1.7783
352,-1.7791
384,-1.7602
416,-1.7434
448,-1.7253
480,-1.7405
512,-1.7229
