Ly,val
1,0.2952
2,-1.7318
3,-3.2684
4,-3.5308
5,-3.3532
6,-3.8109
7,-4.1011
8,-4.445
9,-4.539
10,-4.474
11,-4.4828
12,-4.6181
13,-4.5154
14,-4.5587
15,-4.4837
16,-4.547
