time,val
0.0,-6.0096276820138645e-05
0.1,-0.0001296009430984859
0.2,-7.819937705382402e-05
0.3,-0.00023752838491279617
0.4,-0.0006486967270133964
0.5,-3.926153401090797e-06
0.6,-2.501295847465568e-05
0.7,-0.000163107450187111
0.8,-0.0003035470147651111
0.9,-0.00012760939048022936
1.0,-4.194321909586007e-05
1.1,-2.2125781654285984e-05
1.2,-7.472314831938121e-05
1.3,-0.002013153792964126
1.4,-0.004499601036651126
1.5,-0.00346766547358341
1.6,-7.118214303482289e-05
1.7,-7.107163596131816e-05
1.8,-0.0001985954643633684
1.9,-0.0006830985796117321
2.0,-0.0005147635764898669
2.1,-0.00015445358925984283
2.2,-0.0003693963489028829
2.3,-5.9678523903435764e-05
2.4,-0.00643217549631159
2.5,-0.004338585504202769
2.6,-0.0009679896592498799
2.7,-0.0006293742301018142
2.8,-0.0004549020101845142
2.9,-1.6934461643395946e-05
3.0,-4.279047646542348e-05
3.1,-0.00183128550387382
3.2,-0.00024608419336378363
3.3,-0.0003867783153278524
3.4,-0.0007929517212655276
3.5,-0.000316046492852578
3.6,1.2252870179204489e-06
3.7,-3.653781115680991e-05
3.8,-7.964520309915127e-05
3.9,-0.00021786253785597713
4.0,-0.0004913761415775903
4.1,-0.006267984573366561
4.2,-0.006438764526521787
4.3,-0.0004987504116145252
4.4,-7.920710370963353e-05
4.5,-0.000845697585791013
4.6,-0.0024444859887891605
4.7,-0.001087793672650098
4.8,-9.995468685840073e-05
4.9,-0.0007252639308142231
5.0,-0.0005831075494295192
5.1,-0.00034484670404997706
5.2,-0.00022630730182415993
5.3,-2.9508015938031415e-05
5.4,-0.00022322245322423714
5.5,-0.0002614603748133654
5.6,-0.007657816177074534
5.7,-0.005310645582634137
5.8,-0.00019354922810096477
5.9,-0.00018335886353464795
6.0,-1.8234999439686642e-05
6.1,-0.00021239883794685056
6.2,-0.00012111448005537466
6.3,-5.350017302746844e-05
6.4,-0.00022436665322718183
6.5,-0.0002518399775383011
6.6,-6.207978606649214e-05
6.7,-8.835321531414699e-05
6.8,-6.960061798297633e-05
6.9,-0.00018685795542305346
7.0,-0.00012395398528803348
7.1,-0.00032263998183639365
7.2,-0.001306155172142083
7.3,-0.004296874583837662
7.4,-0.00855396948054167
7.5,-0.0001626315215057244
