nperseg,val
32,-7.075
64,-12.7872
96,-13.594
128,-15.5082
160,-13.8235
192,-15.9742
224,-13.5233
256,-14.1959
288,-14.3277
320,-12.1904
352,-14.1824
384,-14.5403
416,-13.5382
448,-13.0386
480,-14.0163
512,-12.9744
