freq, val
0.25,3.8671681841819664e-09
0.5,1.4730507066639248e-09
0.75,3.308761830012934e-10
1.0,1.7258375803067956e-10
1.25,7.081249452336368e-11
1.5,1.1441552525010726e-10
1.75,7.766404117310765e-11
2.0,2.4682925833196514e-10
2.25,3.625427683454422e-10
2.5,3.3022719061635244e-10
2.75,1.1119563583936946e-10
3.0,4.372839329810521e-11
3.25,7.717994878490655e-11
3.5,1.7563006849739927e-10
3.75,2.5808392419345435e-10
4.0,7.362640207071937e-11
4.25,5.539771997073337e-11
4.5,8.33902176693949e-11
4.75,3.279581280988691e-11
5.0,1.473878099877543e-11
5.25,1.3705021954633692e-11
5.5,1.42855470894969e-11
5.75,1.1945124328179141e-11
6.0,1.1858334856189581e-11
6.25,1.0137010328396323e-11
6.5,1.4483234220139668e-11
6.75,1.6087875124478692e-11
7.0,5.523957026622064e-11
7.25,6.875461970977202e-11
7.5,5.62357205391574e-11
7.75,1.3181488572863497e-10
