freq, val
0.25,3.547660763788345
0.5,5.872326940388506
0.75,5.7598059462401165
1.0,6.8197562082311824
1.25,7.0817229396342904
1.5,9.768168321228524
1.75,9.057708589300303
2.0,8.980545541653086
2.25,9.538642857555844
2.5,9.487240086660819
2.75,8.719629424085419
3.0,9.15724352782642
3.25,8.036031031988642
3.5,6.802615241926637
3.75,7.445020911623958
4.0,6.599034713011686
4.25,6.9124563894810995
4.5,6.8884863595483825
4.75,6.043035257202379
5.0,6.249418769811865
5.25,6.07341131419764
5.5,6.702375098508946
5.75,6.096732095510254
6.0,5.465348042217098
6.25,5.415033279887243
6.5,4.9667129410900905
6.75,6.151292242138573
7.0,5.234715555267329
7.25,4.2424052868055835
7.5,4.51616023298795
7.75,4.808884253686664
