Ly,val
1,28.9214
2,32.0116
3,34.2736
4,35.6045
5,35.8372
6,36.5793
7,36.986
8,37.2157
9,37.4038
10,37.6742
11,37.8079
12,38.0682
13,38.2678
14,38.5697
15,38.7264
16,38.8578
