gain,val
0,-3.5376619800271794
1,-3.726342422258344
2,-4.212495297191129
3,-4.857122311363217
4,-5.554631466710474
5,-6.243202221999611
6,-6.8904994569400895
7,-7.481747353580296
8,-8.012091808813253
9,-8.481919868054167
10,-8.89414374796042
