gain,val
0,1.0029005652153028e-12
1,0.23401642126925354
2,0.8977254745079416
3,1.8474733282826492
4,2.9442639379251845
5,4.088416719898979
6,5.218223937118651
7,6.2991539430392365
8,7.313964427529246
9,8.255678820235467
10,9.123106582056256
