Ly,val
1,-1.3954
2,-0.4907
3,0.0071
4,0.0908
5,0.0532
6,0.1477
7,0.208
8,0.2203
9,0.2348
10,0.2314
11,0.2355
12,0.246
13,0.2835
14,0.3305
15,0.3505
16,0.3555
