nperseg,val
32,34.9245
64,33.6589
96,33.181
128,33.5568
160,33.9831
192,34.1261
224,34.5398
256,34.7811
288,35.2867
320,35.3833
352,35.5246
384,35.7505
416,36.0873
448,36.2888
480,36.2911
512,36.4828
