nperseg,val
32,-0.011
64,-0.004
96,-0.0017
128,-0.0009
160,-0.0005
192,-0.0002
224,-0.0002
256,-0.0001
288,-0.0001
320,-0.0001
352,-0.0
384,0.0
416,-0.0
448,-0.0
480,0.0
512,-0.0
