gain,val
0,-2.4547155056628567
1,-4.702477810346609
2,-7.2443287291287115
3,-9.09437569455542
4,-10.430480220892267
5,-11.415722184467171
6,-12.150789392703524
7,-12.698637077285772
8,-13.10118900824241
9,-13.388652871154065
10,-13.584370967726322
