freq, win, val
0.25,0.0,1.7759231128788026e-28
0.25,0.0515625,1.7759231128788026e-28
0.25,0.103125,1.7759231128788026e-28
0.25,0.1546875,1.7759231128788026e-28
0.25,0.20625,1.7759231128788026e-28
0.25,0.2578125,1.7759231128788026e-28
0.25,0.309375,1.7759231128788026e-28
0.25,0.3609375,1.7759231128788026e-28
0.25,0.4125,1.7759231128788026e-28
0.25,0.4640625,1.7759231128788026e-28
0.25,0.515625,1.7759231128788026e-28
0.25,0.5671875,1.7759231128788026e-28
0.25,0.61875,1.7759231128788026e-28
0.25,0.6703125,1.7759231128788026e-28
0.25,0.721875,1.7759231128788026e-28
0.25,0.7734375,1.7759231128788026e-28
0.25,0.825,1.7759231128788026e-28
0.25,0.8765625,1.7759231128788026e-28
0.25,0.928125,1.7759231128788026e-28
0.25,0.9796875,1.7759231128788026e-28
0.25,1.03125,1.7759231128788026e-28
0.25,1.0828125,1.7759231128788026e-28
0.25,1.134375,1.7759231128788026e-28
0.25,1.1859375,1.7759231128788026e-28
0.25,1.2375,1.7759231128788026e-28
0.25,1.2890625,4.406065489571343e-28
0.25,1.340625,4.406065489571343e-28
0.25,1.3921875,4.406065489571343e-28
0.25,1.44375,4.406065489571343e-28
0.25,1.4953125,4.406065489571343e-28
0.25,1.546875,4.406065489571343e-28
0.25,1.5984375,4.406065489571343e-28
0.25,1.65,4.406065489571343e-28
0.25,1.7015625,4.406065489571343e-28
0.25,1.753125,4.406065489571343e-28
0.25,1.8046875,4.406065489571343e-28
0.25,1.85625,4.406065489571343e-28
0.25,1.9078125,4.406065489571343e-28
0.25,1.959375,4.406065489571343e-28
0.25,2.0109375,4.406065489571343e-28
0.25,2.0625,4.406065489571343e-28
0.25,2.1140625,4.406065489571343e-28
0.25,2.165625,4.406065489571343e-28
0.25,2.2171875,4.406065489571343e-28
0.25,2.26875,4.406065489571343e-28
0.25,2.3203125,4.406065489571343e-28
0.25,2.371875,4.406065489571343e-28
0.25,2.4234375,4.406065489571343e-28
0.25,2.475,4.406065489571343e-28
0.25,2.5265625,4.406065489571343e-28
0.25,2.578125,6.63136198451413e-29
0.25,2.6296875,6.63136198451413e-29
0.25,2.68125,6.63136198451413e-29
0.25,2.7328125,6.63136198451413e-29
0.25,2.784375,6.63136198451413e-29
0.25,2.8359375,6.63136198451413e-29
0.25,2.8875,6.63136198451413e-29
0.25,2.9390625,6.63136198451413e-29
0.25,2.990625,6.63136198451413e-29
0.25,3.0421875,6.63136198451413e-29
0.25,3.09375,6.63136198451413e-29
0.25,3.1453125,6.63136198451413e-29
0.25,3.196875,6.63136198451413e-29
0.25,3.2484375,6.63136198451413e-29
0.25,3.3,6.63136198451413e-29
0.25,3.3515625,6.63136198451413e-29
0.25,3.403125,6.63136198451413e-29
0.25,3.4546875,6.63136198451413e-29
0.25,3.50625,6.63136198451413e-29
0.25,3.5578125,6.63136198451413e-29
0.25,3.609375,6.63136198451413e-29
0.25,3.6609375,6.63136198451413e-29
0.25,3.7125,6.63136198451413e-29
0.25,3.7640625,6.63136198451413e-29
0.25,3.815625,6.63136198451413e-29
0.25,3.8671875,6.563322731438819e-28
0.25,3.91875,6.563322731438819e-28
0.25,3.9703125,6.563322731438819e-28
0.25,4.021875,6.563322731438819e-28
0.25,4.0734375,6.563322731438819e-28
0.25,4.125,6.563322731438819e-28
0.25,4.1765625,6.563322731438819e-28
0.25,4.228125,6.563322731438819e-28
0.25,4.2796875,6.563322731438819e-28
0.25,4.33125,6.563322731438819e-28
0.25,4.3828125,6.563322731438819e-28
0.25,4.434375,6.563322731438819e-28
0.25,4.4859375,6.563322731438819e-28
0.25,4.5375,6.563322731438819e-28
0.25,4.5890625,6.563322731438819e-28
0.25,4.640625,6.563322731438819e-28
0.25,4.6921875,6.563322731438819e-28
0.25,4.74375,6.563322731438819e-28
0.25,4.7953125,6.563322731438819e-28
0.25,4.846875,6.563322731438819e-28
0.25,4.8984375,6.563322731438819e-28
0.25,4.95,6.563322731438819e-28
0.25,5.0015625,6.563322731438819e-28
0.25,5.053125,6.563322731438819e-28
0.25,5.1046875,6.563322731438819e-28
0.25,5.15625,4.6168392626850804e-30
0.25,5.2078125,4.6168392626850804e-30
0.25,5.259375,4.6168392626850804e-30
0.25,5.3109375,4.6168392626850804e-30
0.25,5.3625,4.6168392626850804e-30
0.25,5.4140625,4.6168392626850804e-30
0.25,5.465625,4.6168392626850804e-30
0.25,5.5171875,4.6168392626850804e-30
0.25,5.56875,4.6168392626850804e-30
0.25,5.6203125,4.6168392626850804e-30
0.25,5.671875,4.6168392626850804e-30
0.25,5.7234375,4.6168392626850804e-30
0.25,5.775,4.6168392626850804e-30
0.25,5.8265625,4.6168392626850804e-30
0.25,5.878125,4.6168392626850804e-30
0.25,5.9296875,4.6168392626850804e-30
0.25,5.98125,4.6168392626850804e-30
0.25,6.0328125,4.6168392626850804e-30
0.25,6.084375,4.6168392626850804e-30
0.25,6.1359375,4.6168392626850804e-30
0.25,6.1875,4.6168392626850804e-30
0.25,6.2390625,4.6168392626850804e-30
0.25,6.290625,4.6168392626850804e-30
0.25,6.3421875,4.6168392626850804e-30
0.25,6.39375,4.6168392626850804e-30
0.25,6.4453125,2.2690844381583755e-28
0.25,6.496875,2.2690844381583755e-28
0.25,6.5484375,2.2690844381583755e-28
0.25,6.6,2.2690844381583755e-28
0.25,6.6515625,2.2690844381583755e-28
0.25,6.703125,2.2690844381583755e-28
0.25,6.7546875,2.2690844381583755e-28
0.25,6.80625,2.2690844381583755e-28
0.25,6.8578125,2.2690844381583755e-28
0.25,6.909375,2.2690844381583755e-28
0.25,6.9609375,2.2690844381583755e-28
0.25,7.0125,2.2690844381583755e-28
0.25,7.0640625,2.2690844381583755e-28
0.25,7.115625,2.2690844381583755e-28
0.25,7.1671875,2.2690844381583755e-28
0.25,7.21875,2.2690844381583755e-28
0.25,7.2703125,2.2690844381583755e-28
0.25,7.321875,2.2690844381583755e-28
0.25,7.3734375,2.2690844381583755e-28
0.25,7.425,2.2690844381583755e-28
0.25,7.4765625,2.2690844381583755e-28
0.25,7.528125,2.2690844381583755e-28
0.25,7.5796875,2.2690844381583755e-28
0.25,7.63125,2.2690844381583755e-28
0.25,7.6828125,2.2690844381583755e-28
0.25,7.734375,7.518830502887768e-31
0.25,7.7859375,7.518830502887768e-31
0.25,7.8375,7.518830502887768e-31
0.25,7.8890625,7.518830502887768e-31
0.25,7.940625,7.518830502887768e-31
0.25,7.9921875,7.518830502887768e-31
0.25,8.04375,7.518830502887768e-31
0.25,8.0953125,7.518830502887768e-31
0.5,0.0,8.878460006427383e-29
0.5,0.0515625,8.878460006427383e-29
0.5,0.103125,8.878460006427383e-29
0.5,0.1546875,8.878460006427383e-29
0.5,0.20625,8.878460006427383e-29
0.5,0.2578125,8.878460006427383e-29
0.5,0.309375,8.878460006427383e-29
0.5,0.3609375,8.878460006427383e-29
0.5,0.4125,8.878460006427383e-29
0.5,0.4640625,8.878460006427383e-29
0.5,0.515625,8.878460006427383e-29
0.5,0.5671875,8.878460006427383e-29
0.5,0.61875,8.878460006427383e-29
0.5,0.6703125,8.878460006427383e-29
0.5,0.721875,8.878460006427383e-29
0.5,0.7734375,8.878460006427383e-29
0.5,0.825,8.878460006427383e-29
0.5,0.8765625,8.878460006427383e-29
0.5,0.928125,8.878460006427383e-29
0.5,0.9796875,8.878460006427383e-29
0.5,1.03125,8.878460006427383e-29
0.5,1.0828125,8.878460006427383e-29
0.5,1.134375,8.878460006427383e-29
0.5,1.1859375,8.878460006427383e-29
0.5,1.2375,8.878460006427383e-29
0.5,1.2890625,1.7872629883913545e-30
0.5,1.340625,1.7872629883913545e-30
0.5,1.3921875,1.7872629883913545e-30
0.5,1.44375,1.7872629883913545e-30
0.5,1.4953125,1.7872629883913545e-30
0.5,1.546875,1.7872629883913545e-30
0.5,1.5984375,1.7872629883913545e-30
0.5,1.65,1.7872629883913545e-30
0.5,1.7015625,1.7872629883913545e-30
0.5,1.753125,1.7872629883913545e-30
0.5,1.8046875,1.7872629883913545e-30
0.5,1.85625,1.7872629883913545e-30
0.5,1.9078125,1.7872629883913545e-30
0.5,1.959375,1.7872629883913545e-30
