freq, val
0.25,4.821637332766433e-15
0.5,9.64327466553287e-16
0.75,4.821637332766433e-15
1.0,2.8929823996598604e-15
1.25,4.821637332766433e-15
1.5,2.8929823996598604e-15
1.75,6.750292265873005e-15
2.0,9.64327466553287e-16
2.25,6.750292265873005e-15
2.5,5.785964799319719e-15
2.75,3.857309866213147e-15
3.0,5.785964799319719e-15
3.25,3.857309866213147e-15
3.5,4.821637332766433e-15
3.75,3.857309866213147e-15
4.0,4.821637332766433e-15
4.25,9.64327466553287e-16
4.5,2.8929823996598604e-15
4.75,5.785964799319719e-15
5.0,7.714619732426289e-15
5.25,3.857309866213147e-15
5.5,3.857309866213147e-15
5.75,3.857309866213147e-15
6.0,6.750292265873005e-15
6.25,3.857309866213147e-15
6.5,6.750292265873005e-15
6.75,4.821637332766433e-15
7.0,3.857309866213147e-15
7.25,5.785964799319719e-15
7.5,3.857309866213147e-15
7.75,2.8929823996598604e-15
