freq, val
0.25,-7.668811076736672
0.5,-3.920192256956647
0.75,-5.313074392220848
1.0,-8.332570686060665
1.25,-4.033441804132048
1.5,-1.858370287180867
1.75,-4.664020806877068
2.0,-2.4053741862604703
2.25,-4.01471492424048
2.5,-5.4817268194514766
2.75,-3.7620145375766088
3.0,-6.135924992384966
3.25,-1.0400291179893153
3.5,-1.8558224098483034
3.75,-3.1342238561667175
4.0,-2.933648467152561
4.25,-4.753690146098684
4.5,-2.2037312617085805
4.75,-3.6803463510081507
5.0,-1.6366910365185339
5.25,-3.3855905150716454
5.5,-3.9104873393325583
5.75,-4.286250354555261
6.0,-5.657475218083321
6.25,-2.8195147053663043
6.5,-4.8975933950869575
6.75,-3.0078967285387765
7.0,-3.9336734590230193
7.25,-3.4084961527931608
7.5,-6.112244109866145
7.75,-8.939334560838919
