Ly,val
1,0.5052
2,0.0181
3,-0.0253
4,0.0718
5,0.0551
6,0.0064
7,-0.0029
8,0.0049
9,0.0011
10,0.0008
11,-0.0001
12,-0.0
13,-0.0
14,-0.0
15,0.0
16,0.0
