nperseg,val
32,0.1968
64,-0.7301
96,-1.0313
128,-1.066
160,-1.1176
192,-1.1611
224,-1.1989
256,-1.1916
288,-1.2157
320,-1.219
352,-1.2212
384,-1.2282
416,-1.2154
448,-1.2247
480,-1.2662
512,-1.24
