nperseg,val
32,11.6861
64,10.4831
96,10.8936
128,10.4764
160,10.6494
192,10.4347
224,10.9652
256,10.8844
288,10.8487
320,10.8956
352,10.9648
384,10.9658
416,10.7802
448,10.6059
480,10.5428
512,10.7957
