nperseg,val
32,0.5052
64,0.2667
96,0.0675
128,0.0016
160,-0.0208
192,0.0065
224,-0.0037
256,-0.008
288,0.0097
320,0.0049
352,-0.0049
384,-0.005
416,0.0008
448,0.0085
480,0.0011
512,0.0001
