freq,val
4.0,10.53
4.15,10.61
4.3,10.7
4.46,10.78
4.63,10.87
4.8,10.95
4.98,11.04
5.16,11.13
5.36,11.21
5.55,11.3
5.76,11.39
5.98,11.48
6.2,11.57
6.43,11.66
6.67,11.75
6.91,11.84
7.17,11.93
7.44,12.03
7.71,12.13
8.0,12.23
