Ly,val
1,13.0609
2,12.1258
3,10.872
4,10.9972
5,11.2216
6,10.9536
7,11.5241
8,11.7216
9,11.6674
10,11.6852
11,12.0982
12,12.3668
13,12.5082
14,12.5365
15,11.9555
16,12.069
