Ly,val
1,-10.1719
2,-4.7721
3,-5.4897
4,-4.8437
5,-6.744
6,-5.6731
7,-5.0401
8,-4.7727
9,-5.3445
10,-5.4075
11,-5.3026
12,-5.6941
13,-5.8494
14,-5.7592
15,-5.8589
16,-6.0256
