nperseg,val
32,-2.4838
64,-1.8551
96,-1.9921
128,-1.9697
160,-1.9745
192,-2.0498
224,-2.0619
256,-2.0717
288,-2.1155
320,-2.145
352,-2.202
384,-2.2388
416,-2.1782
448,-2.1947
480,-2.2724
512,-2.2755
