nperseg,val
32,-1.509
64,-1.7239
96,-1.916
128,-1.9251
160,-1.9367
192,-2.0533
224,-2.057
256,-2.0597
288,-2.1237
320,-2.1478
352,-2.1969
384,-2.2323
416,-2.178
448,-2.2029
480,-2.2736
512,-2.2757
