nperseg,val
32,-0.7277
64,-2.3643
96,-3.1331
128,-3.2835
160,-3.2209
192,-3.2048
224,-3.1584
256,-3.0759
288,-2.942
320,-2.9523
352,-2.8923
384,-2.809
416,-2.7898
448,-2.8631
480,-2.7911
512,-2.8198
