nperseg,val
32,13.0609
64,10.2946
96,10.9633
128,10.1089
160,9.8913
192,10.3055
224,11.0351
256,10.9323
288,10.3521
320,11.055
352,11.4357
384,11.4655
416,10.8661
448,10.5225
480,10.8786
512,11.3985
