nperseg,val
32,29.8774
64,31.2714
96,30.6247
128,31.2094
160,31.2979
192,31.3911
224,31.5552
256,32.0304
288,32.211
320,32.2375
352,32.2277
384,32.5455
416,32.7043
448,32.8925
480,32.8482
512,33.0588
