Ly,val
1,-12.7216
2,-4.9698
3,-5.5997
4,-4.993
5,-6.8873
6,-5.699
7,-5.0446
8,-4.7748
9,-5.3484
10,-5.4085
11,-5.3026
12,-5.694
13,-5.8494
14,-5.7592
15,-5.8589
