Ly,val
1,-13.3335
2,-8.5053
3,-9.3987
4,-10.2234
5,-9.7867
6,-9.9146
7,-9.0156
8,-9.1721
9,-9.4378
10,-9.318
11,-9.3117
12,-9.4084
13,-9.4212
14,-9.5717
15,-9.553
