nperseg,val
32,0.9748
64,0.1311
96,0.0761
128,0.0447
160,0.0379
192,-0.0035
224,0.0049
256,0.0121
288,-0.0082
320,-0.0028
352,0.0052
384,0.0065
416,0.0001
448,-0.0082
480,-0.0012
512,-0.0002
