Ly,val
1,-15.0754
2,-11.3523
3,-10.6847
4,-10.8079
5,-12.0083
6,-12.1499
7,-12.0561
8,-11.9678
9,-12.573
10,-12.4474
11,-12.1094
12,-12.0427
13,-11.7565
14,-12.0069
15,-11.8033
