Ly,val
1,0.9748
2,0.509
3,0.1282
4,0.0331
5,0.0272
6,-0.0018
7,0.0006
8,0.0009
9,-0.0003
10,-0.0002
11,-0.0
12,-0.0
13,-0.0
14,-0.0
15,-0.0
16,0.0
