Ly,val
1,22.6852
2,21.0036
3,23.4359
4,20.4958
5,22.4226
6,23.3945
7,25.0878
8,23.9858
9,25.1168
10,24.3773
11,23.8031
12,24.7073
13,24.3825
14,24.4876
15,23.7928
16,23.8625
