Ly,val
1,23.2765
2,26.0768
3,25.5531
4,26.16
5,26.2702
6,26.7927
7,27.1009
8,27.5603
9,27.9639
10,28.3027
11,28.6329
12,28.7696
13,29.0991
14,29.389
15,29.4639
