Ly,val
1,8.1962
2,9.1278
3,9.2146
4,9.2335
5,9.2395
6,9.3781
7,9.4768
8,9.5554
9,9.623
10,9.6238
11,9.7007
12,9.7612
13,9.7636
14,9.8447
15,9.8838
