nperseg,val
32,20.1842
64,14.6623
96,9.1168
128,6.582
160,4.8672
192,3.7228
224,2.9427
256,2.505
288,1.8644
320,1.7647
352,1.4268
384,1.3421
416,1.2271
448,1.0052
480,0.9757
512,0.8754
