freq, win, val
0.5,0.0,6.294940541828569e-29
0.5,0.0265625,6.294940541828569e-29
0.5,0.053125,6.294940541828569e-29
0.5,0.0796875,6.294940541828569e-29
0.5,0.10625,6.294940541828569e-29
0.5,0.1328125,6.294940541828569e-29
0.5,0.159375,6.294940541828569e-29
0.5,0.1859375,6.294940541828569e-29
0.5,0.2125,6.294940541828569e-29
0.5,0.2390625,6.294940541828569e-29
0.5,0.265625,6.294940541828569e-29
0.5,0.2921875,6.294940541828569e-29
0.5,0.31875,6.294940541828569e-29
0.5,0.3453125,6.294940541828569e-29
0.5,0.371875,6.294940541828569e-29
0.5,0.3984375,6.294940541828569e-29
0.5,0.425,6.294940541828569e-29
0.5,0.4515625,6.294940541828569e-29
0.5,0.478125,6.294940541828569e-29
0.5,0.5046875,6.294940541828569e-29
0.5,0.53125,6.294940541828569e-29
0.5,0.5578125,6.294940541828569e-29
0.5,0.584375,6.294940541828569e-29
0.5,0.6109375,6.294940541828569e-29
0.5,0.6375,6.294940541828569e-29
0.5,0.6640625,3.0917073767869814e-30
0.5,0.690625,3.0917073767869814e-30
0.5,0.7171875,3.0917073767869814e-30
0.5,0.74375,3.0917073767869814e-30
0.5,0.7703125,3.0917073767869814e-30
0.5,0.796875,3.0917073767869814e-30
0.5,0.8234375,3.0917073767869814e-30
0.5,0.85,3.0917073767869814e-30
0.5,0.8765625,3.0917073767869814e-30
0.5,0.903125,3.0917073767869814e-30
0.5,0.9296875,3.0917073767869814e-30
0.5,0.95625,3.0917073767869814e-30
0.5,0.9828125,3.0917073767869814e-30
0.5,1.009375,3.0917073767869814e-30
0.5,1.0359375,3.0917073767869814e-30
0.5,1.0625,3.0917073767869814e-30
0.5,1.0890625,3.0917073767869814e-30
0.5,1.115625,3.0917073767869814e-30
0.5,1.1421875,3.0917073767869814e-30
0.5,1.16875,3.0917073767869814e-30
0.5,1.1953125,3.0917073767869814e-30
0.5,1.221875,3.0917073767869814e-30
0.5,1.2484375,3.0917073767869814e-30
0.5,1.275,3.0917073767869814e-30
0.5,1.3015625,3.0917073767869814e-30
0.5,1.328125,3.710881816845327e-30
0.5,1.3546875,3.710881816845327e-30
0.5,1.38125,3.710881816845327e-30
0.5,1.4078125,3.710881816845327e-30
0.5,1.434375,3.710881816845327e-30
0.5,1.4609375,3.710881816845327e-30
0.5,1.4875,3.710881816845327e-30
0.5,1.5140625,3.710881816845327e-30
0.5,1.540625,3.710881816845327e-30
0.5,1.5671875,3.710881816845327e-30
0.5,1.59375,3.710881816845327e-30
0.5,1.6203125,3.710881816845327e-30
0.5,1.646875,3.710881816845327e-30
0.5,1.6734375,3.710881816845327e-30
0.5,1.7,3.710881816845327e-30
0.5,1.7265625,3.710881816845327e-30
0.5,1.753125,3.710881816845327e-30
0.5,1.7796875,3.710881816845327e-30
0.5,1.80625,3.710881816845327e-30
0.5,1.8328125,3.710881816845327e-30
0.5,1.859375,3.710881816845327e-30
0.5,1.8859375,3.710881816845327e-30
0.5,1.9125,3.710881816845327e-30
