gain,val
0,12.239026017698363
1,9.372245066675823
2,7.222850693139731
3,6.244778424320154
4,5.951374783667962
5,6.041016172336056
6,6.331539590617918
7,6.717097164067155
8,7.138785791057655
9,7.564625103474586
10,7.977597741380835
