freq, val
0.25,-0.2194985886545513
0.5,-0.0413849260041029
0.75,-0.2062799616425914
1.0,-0.012714427653697706
1.25,-0.03692729908807633
1.5,-0.09197053550951925
1.75,-0.25517555172817563
2.0,-0.06593734284445096
2.25,-0.0367170667509721
2.5,-0.095290686080538
2.75,-0.05501759162783198
3.0,-0.5078922325996061
3.25,-0.042357083037909686
3.5,-0.03627703467300374
3.75,-0.1322165935980279
4.0,-0.2293378939837448
4.25,-0.18199135863597332
4.5,-0.11900007290425269
4.75,-0.0039489660801729255
5.0,-0.0157592274632034
5.25,-0.6028883031368997
5.5,-0.025629779558948924
5.75,-0.0275106993652514
6.0,-0.01840716197482541
6.25,-0.12847447021250535
6.5,-0.07787438254439329
6.75,-0.06436826396572826
7.0,-0.012064909129218778
7.25,-0.08251345382987947
7.5,-0.01836042799420951
7.75,-0.09015529730305355
