freq, val
0.25,15.71008612896492
0.5,14.789401479459185
0.75,16.84955881252766
1.0,19.974479444372683
1.25,19.34369378192062
1.5,22.816873782733303
1.75,21.96952014562697
2.0,22.28330688549854
2.25,21.93815365800638
2.5,21.890936890596812
2.75,25.44655011743081
3.0,30.52162478933068
3.25,27.822061680502408
3.5,25.142814612639054
3.75,23.8645034878079
4.0,24.63922310165951
4.25,24.37799486909087
4.5,25.639335066215423
4.75,26.745140115581126
5.0,27.51083250520444
5.25,28.627682111652113
5.5,29.4596426550658
5.75,28.706691008606988
6.0,27.608151600904762
6.25,28.657064752706237
6.5,26.35151232202583
6.75,27.332643196616818
7.0,26.151823299441514
7.25,25.216385391298388
7.5,24.261925922546297
7.75,25.1167828884163
