gain,val
0,1.4957433861476503
1,1.206179432800291
2,0.6881817734457631
3,0.1333085381037315
4,-0.37962007742176235
5,-0.8187298262383342
6,-1.1751583769562555
7,-1.4507471539421983
8,-1.6519984482522367
9,-1.787482155704829
10,-1.8666551000028233
