gain,val
0,16.7345534405279
1,16.93447082542269
2,17.542357953487343
3,18.201736887238557
4,18.804697569862906
5,19.332004272005783
6,19.77478748781834
7,20.136709612825822
8,20.42886081020448
9,20.663754122991396
10,20.852524903880074
