time,val
0.0,-16.9049
0.1,-15.5554
0.2,-15.1669
0.3,-16.3622
0.4,-15.1586
0.5,-14.9749
0.6,-15.1185
0.7,-15.6855
0.8,-15.4741
0.9,-14.6653
1.0,-15.0978
1.1,-14.6918
1.2,-16.7621
1.3,-16.6408
1.4,-16.6252
1.5,-16.3813
1.6,-16.5194
1.7,-16.3688
1.8,-16.3638
1.9,-16.4279
2.0,-15.8344
2.1,-16.4043
2.2,-16.9007
2.3,-15.9023
2.4,-17.1405
2.5,-16.2698
2.6,-16.2576
2.7,-16.7821
2.8,-15.4075
2.9,-16.1487
3.0,-15.5795
3.1,-15.4882
3.2,-16.2727
3.3,-16.1283
3.4,-16.3540
3.5,-15.9296
3.6,-16.8620
3.7,-15.9999
3.8,-15.9199
3.9,-16.3843
4.0,-15.4421
4.1,-16.1057
4.2,-16.3324
4.3,-16.4604
4.4,-15.6551
4.5,-16.2047
4.6,-16.7475
4.7,-16.0752
4.8,-17.6354
4.9,-16.0607
5.0,-16.1018
5.1,-16.1682
5.2,-16.7685
5.3,-16.2935
5.4,-15.7729
5.5,-15.1647
5.6,-16.0890
5.7,-17.2938
5.8,-16.4431
5.9,-15.7907
6.0,-16.0545
6.1,-16.0961
6.2,-15.6823
6.3,-16.5256
6.4,-15.7284
6.5,-15.8183
6.6,-15.5528
6.7,-15.8969
6.8,-15.2831
6.9,-15.9756
7.0,-15.8944
7.1,-16.1982
7.2,-17.2665
7.3,-16.3833
7.4,-16.1013
7.5,-16.4972
