freq, val
0.25,-0.1362835608663396
0.5,-0.5589187605950404
0.75,-1.362422619702016
1.0,-2.5664337419226713
1.25,-4.305986202482933
1.5,-6.861817211868528
1.75,-10.7862115136822
2.0,-18.36764514863639
2.25,-20.527666179620937
2.5,-11.666125330706214
2.75,-7.329216294403183
3.0,-4.637482845528166
3.25,-2.7886093669948564
3.5,-1.5406377314917954
3.75,-0.6836946440979343
4.0,-0.1981274706133505
4.25,-0.0026637413426319023
4.5,-0.10324730609564536
4.75,-0.5112259879720975
5.0,-1.2393426680365143
5.25,-2.366201992462747
5.5,-4.014160149228789
5.75,-6.370614310570631
6.0,-10.204985690371009
6.25,-17.41246713142091
6.5,-25.587218346529482
6.75,-12.74929997205138
7.0,-7.84453439911275
7.25,-4.94950511727422
7.5,-3.0524363499923624
7.75,-1.1564696785453357
