gain,val
0,-0.5685199033116841
1,-3.1404212820734085
2,-5.8490500796790235
3,-7.820184321359197
4,-9.302164876212547
5,-10.443871342503675
6,-11.332636467775771
7,-12.024246495381224
8,-12.557324789215023
9,-12.960802001415239
10,-13.257839920008188
