time,val
0.0,1.4971
0.2,1.2020
0.4,0.5208
0.6,1.5696
0.8,1.3792
1.0,0.5253
1.2,0.6247
1.4,1.1062
1.6,1.6133
1.8,1.5372
2.0,0.3609
2.2,0.2253
2.4,-0.0868
2.6,0.3733
2.8,0.9059
3.0,1.6360
3.2,0.9196
3.4,0.8351
3.6,1.6040
3.8,1.5457
4.0,0.6101
4.2,0.1890
4.4,1.3765
4.6,0.7634
4.8,0.6470
5.0,0.8515
5.2,1.6654
5.4,1.5706
5.6,0.7902
5.8,1.2865
6.0,0.9219
6.2,1.6976
6.4,1.2861
6.6,1.5113
6.8,1.2057
7.0,0.7071
7.2,-0.1592
