Ly,val
1,29.154
2,29.7993
3,29.8439
4,28.8903
5,30.2628
6,30.1132
7,30.8444
8,30.9823
9,31.3802
10,31.5504
11,31.6561
12,31.7633
13,32.0139
14,32.1966
15,32.3467
16,32.4425
